Data ID,Classification,Confidence Score,Detailed Justification
D3583,Spam,0.75,Email shows moderate spam indicators with high content spam score (0.59) SMTP IP geo high (0.87) and site similarity very high (0.95). No malicious files but pattern indicates spam campaign.
D3584,No Action,0.80,Legal threat with minimal risk indicators despite temp email likelihood (0.30). Very low metadata score (0.04) and behavioral scores. Clean profile suggests legitimate legal communication.
D3585,Malicious,0.89,Link click phishing with critical indicators: DMARC enforced high exfiltration score (0.73) high AMSI score (0.55) site similarity very high (0.75). Pattern indicates brand impersonation phishing.
D3586,Spam,0.82,Bank detail update with high content spam score (0.50) failed SPF and high URL reputation (0.50). No malicious files but pattern suggests spam bank scam attempt.
D3587,Warning,0.74,VPN/MFA reset with DMARC enforced ActiveX objects detected moderate exfiltration score (0.35) URL shortener detected self-signed certificate. Suspicious but lacks definitive malicious markers.
D3588,Malicious,0.86,Wire transfer fraud with high metadata score (0.36) reply path known malicious QR code detected. Failed DMARC and pattern indicates BEC wire transfer scam.
D3589,Malicious,0.91,Document download malware with very high temp email likelihood (0.93) high metadata score (0.27) eight YARA matches high exfiltration score (0.44). Clear malware delivery attempt.
D3590,No Action,0.83,Clean email with minimal threats. Failed SPF/DKIM and expired certificate but very low behavioral scores no malicious content. Likely misconfigured sender.
D3591,No Action,0.81,Sensitive data request with bulk message indicator but very low threat scores throughout. Three URLs clean no malicious behaviors. Request type concerning but lacks other indicators.
D3592,Warning,0.77,Meeting request with return path known malicious network call on open detected very high exfiltration score (0.89). Mixed signals require caution despite low other scores.
D3593,Warning,0.73,Email with DMARC enforced reply path known malicious but very low threat scores. Failed SPF suggests compromised infrastructure rather than direct attack.
D3594,No Action,0.85,Very clean email with minimal risk indicators. URL redirect chain but all other scores extremely low. Safe communication.
D3595,Warning,0.76,Legal threat with executable attachment self-signed certificate but minimal actual threats. Very low behavioral scores suggest monitoring rather than malicious classification.
D3596,Malicious,0.88,Link click phishing with high behavioral sandbox score (0.51) high exfiltration score (0.50) failed SPF. Pattern indicates targeted phishing attack.
D3597,No Action,0.82,Bank detail update with moderate SMTP IP geo (0.43) but very low threat scores. Four URLs clean no malicious behaviors. Likely legitimate request.
D3598,Warning,0.71,VPN/MFA reset from return path known malicious with SMTP IP geo high (0.60). While concerning lacks strong malicious indicators for full classification.
D3599,Malicious,0.90,Wire transfer scam with DMARC enforced high AMSI score (0.67) high exfiltration score (0.44) SMTP IP geo high (0.54) domain known malicious. Sophisticated BEC attack.
D3600,Malicious,0.87,Document download with high metadata score (0.20) reply path reputation high (0.70) high URL reputation (0.87). Pattern indicates malware delivery through document.
D3601,No Action,0.84,Clean email with very low threat scores across all metrics. One URL with moderate reputation but no malicious behaviors detected.
D3602,No Action,0.79,Sensitive data request with minimal risk indicators. Two URLs with URL redirect but very low threat scores. Safe communication.
D3603,Malicious,0.85,Meeting request with DMARC enforced unscannable attachment high behavioral sandbox score (0.76). Pattern indicates meeting-based social engineering malware.
D3604,Warning,0.78,Email with high metadata score (0.70) return path known malicious but minimal other threats. IOC detected self-signed certificate requires monitoring.
D3605,Spam,0.74,Sender known malicious with moderate content spam score. No malicious files but sender reputation indicates spam campaign.
D3606,Malicious,0.92,Legal threat scam with high AMSI score (0.93) very high exfiltration score (0.88). Pattern indicates sophisticated phishing with data theft capabilities.
D3607,Malicious,0.84,Link click with executable attachment high behavioral sandbox score (0.63) moderate exfiltration score (0.34). Clear malware delivery attempt.
D3608,No Action,0.80,Bank detail update with moderate sender reputation but very low threat scores. Two URLs clean high content spam score but appears legitimate.
D3609,Malicious,0.88,VPN/MFA reset attack with high behavioral sandbox score (0.44) YARA matches bulk message indicator. Pattern indicates credential theft attempt.
D3610,Warning,0.75,Wire transfer request with SMTP IP known malicious QR code detected but moderate threat scores. Suspicious but not definitively malicious.
D3611,Malicious,0.83,Document download with high temp email likelihood (0.66) VBScript detected high exfiltration score (0.45) domain known malicious. Malware delivery confirmed.
D3612,No Action,0.86,Very clean email with minimal risk indicators. One URL present but all threat scores near zero. Safe communication.
D3613,Spam,0.81,Sensitive data request with very high temp email likelihood (0.76) unsubscribe link present. Pattern indicates spam phishing for sensitive data.
D3614,Warning,0.72,Meeting request with high exfiltration score (0.60) but very low other indicators. Mixed signals suggest caution required.
D3615,Warning,0.74,Email with SMTP IP geo very high (0.91) expired certificate but low actual threat scores. Likely compromised infrastructure.
D3616,Spam,0.83,Email with high sender reputation issues moderate temp email likelihood (0.45) high content spam score (0.69). Classic spam indicators.
D3617,Malicious,0.86,Legal threat with high exfiltration score (0.69) SMTP IP reputation very high (0.84) QR code detected. Sophisticated phishing attack.
D3618,Malicious,0.90,Link click phishing with high sender reputation (0.80) network call on open detected high exfiltration score (0.55) certificate mismatch. Brand impersonation attempt.
D3619,No Action,0.78,Bank detail update with bulk message indicator but very low threat scores. High content spam score (0.50) but appears legitimate communication.
D3620,Malicious,0.89,VPN/MFA reset from sender known malicious with high metadata score (0.56) self-signed certificate. Clear credential harvesting attempt.
D3621,Malicious,0.91,Wire transfer fraud with DMARC enforced high metadata score (0.20) high AMSI score (0.28) very high exfiltration score (0.72). Sophisticated BEC attack.
D3622,Malicious,0.93,Document download with high exfiltration score (0.95) YARA matches unsubscribe link expired certificate URL redirect detected. Advanced malware campaign.
