File?,Data ,sender_known_malicios,sender_domain_reputation_score(float),sender_spoof_detected(bool),sender_temp_email_likelihood(float),dmarc_enforced(bool),packer_detected(bool),any_file_hash_malicious(bool),max_metadata_suspicious_score(float),malicious_attachment_Count(int),has_executable_attachment(bool),unscannable_attachment_present(bool),total_components_detected_malicious(int),total_yara_match_count(int),total_ioc_count(int),max_behavioral_sandbox_score(float),max_amsi_suspicion_score(float),any_macro_enabled_document(bool),any_vbscript_javascript_detected(bool),any_active_x_objects_detected(bool),any_network_call_on_open(bool),max_exfiltration_behavior_score(float),any_exploit_pattern_detected(bool),total_embedded_file_count(int),max_suspicious_string_entropy_score(float),max_sandbox_execution_time(float),unique_parent_process_names(categorical),return_path_mismatch_with_from(bool),return_path_known_malicious(bool),return_path_reputation_score(float),reply_path_known_malicious(bool),reply_path_diff_from_sender(bool),reply_path_reputation_Score(float),smtp_ip_known_malicious(bool),smtp_ip_geo(Float),smtp_ip_asn(categorical),smtp_ip_reputation_score(float),domain_known_malicious(bool),url_Count(int),dna_morphing_detected(bool),domain_tech_stack_match_score(float),is_high_risk_role_targeted(bool),sender_name_similarity_to_vip(float),urgency_keywords_present(bool),request_type(categorical),content_spam_score(float),user_marked_as_spam_before(bool),bulk_message_indicator(bool),unsubscribe_link_present(bool),marketing-keywords_detected(bool),html_text_ratio(float),image_only_email(bool),spf_result(enum),dkim_result(enum),dmarc_result(enum),reverse_dns_valid(bool),tls_version(ctegorical),total_links_detected(int),url_shortener_detected(bool),url_redirect_chain_length(int),final_url_known_malicious(bool),url_decoded_spoof_detected(bool),url_reputation_score(float),ssl_validity_status(enum),site_visual_similarity_to_known_brand(float),url_rendering_behavior_score(float),link_rewritten_through_redirector(bool),token_validation_success(bool),Analysis_of_the_qrcode_if_present(verdict-malicious or non-malicious)
1.0,D4383,0,6.7013689940051335e-09,0,2.650938128719311e-07,0,0,0,0.0001197664974338,0,0,0,0,0,0,1.4061477964674312e-07,0.2171968055744788,0,0,0,0,0.209423800342319,0,0,5,0.0135391049252347,"[""winword.exe""]",0,0,0.0556703481454293,0,0,7.348903241378261e-20,0,0.0054800384492996,0.0002610116883582,0.0002440802699765,0,0,0,0.0,0,0.0738103572163708,0,meeting_request,0.0064978215033129,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.2,4,0,0,0,0,1.524818835849567e-09,self signed,5.283382301970189e-07,0.6859537314138668,0,1,0
1.0,D4384,0,0.0121602535234212,0,0.0357635259629907,0,0,0,0.0012140352575478,0,0,0,0,0,0,5.498074150575488e-06,0.2814260345357107,0,0,0,0,0.8229872027624339,0,1,4,7.900982719782791e-17,"[""winword.exe""]",0,0,0.3312655932696564,0,0,1.7857099660970237e-05,0,0.0614928592858122,0.0871054011011442,0.0306407641480885,0,0,0,1.0,0,3.1653306144769395e-10,0,none,0.0997206240481978,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.1,2,0,0,0,0,0.000237591245139,valid,0.3366450741086156,0.0614245282336173,0,1,0
0.0,D4385,0,0.2619722178682142,0,0.0337226291288157,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.1447327028800578,0,0,0.0004213880060385,0,0.1405721748806787,0.5024571145548151,0.0023171684877151,0,0,0,0.5,0,0.2329735628543659,0,none,3.370599718731943e-05,0,0,0,0,0.0,0,pass,fail,fail,1,SSL,0,0,0,0,0,0.0168411861994726,valid,2.9449980029985564e-08,0.0089500923858857,0,1,0
1.0,D4386,0,0.2149334554812028,0,0.550997915005786,0,0,0,0.0046719709010406,0,0,0,0,0,0,3.7907061478740415e-05,1.3039303697420842e-05,0,0,0,0,0.4728742903094773,0,1,4,2.1552713535726814e-58,"[""outlook.exe""]",0,0,0.1409772477285888,0,0,1.6342521271050457e-06,0,0.3893369250976072,0.0566425190549597,0.2740142038986194,0,1,0,1.0,0,1.3559634359090332e-11,0,legal_threat,0.0072372246793836,0,0,0,0,0.0,0,fail,policy,none,1,TLS 1.2,0,0,0,0,0,6.421268705482789e-13,valid,0.0001088535019345,0.0051784455923222,0,1,0
1.0,D4387,0,0.85037532375763,0,6.523289735009096e-22,0,0,0,0.0023054834900278,0,0,0,0,0,0,2.0359875090631807e-12,0.0003737201889194,0,0,0,0,0.5450228629595673,0,0,5,1.1924397002373365e-18,"[""acrobat.exe""]",0,0,5.35456476381501e-06,0,0,0.0301332625612489,0,0.0308468373150381,5.333171924922779e-07,0.6032383202007644,0,0,0,0.5,0,0.2205499003689505,0,link_click,0.7589839391774557,0,0,0,0,0.0,0,pass,policy,fail,1,TLS 1.2,1,0,0,0,0,0.3165539652712305,valid,3.24154231292715e-06,1.5497604724660307e-11,0,1,0
0.0,D4388,0,7.445189114575701e-07,0,0.3791754878883333,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,8.039266395592949e-05,0,0,0.0003841553212242,0,0.0815136610059132,0.6686152268403374,0.5661103653221952,0,0,0,0.5,0,0.0181678055113053,0,bank_detail_update,0.0001864751975663,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.3,0,0,0,0,0,0.7999316905287368,valid,0.7862628579537577,0.0003812864575271,0,1,0
1.0,D4389,0,0.0371825894948633,0,2.5278497621221237e-10,0,0,0,0.0252276825135947,0,0,0,0,1,0,0.1435246754277533,0.2181528521624162,0,0,1,0,0.2661576491718468,0,2,7,8.482298000821995e-57,"[""winword.exe"", ""powershell.exe""]",0,0,0.0104408805262548,0,0,0.0773462648380602,0,0.5470882644591456,0.0002451904972811,0.6312911703341387,0,0,0,0.0,0,0.0002871429454671,0,vpn_or_mfa_reset,0.0090023352624539,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.3,1,0,0,0,0,4.384386698267881e-13,valid,0.1313060755650969,0.8496589111705513,0,1,0
1.0,D4390,0,0.5567754583045554,0,4.044974440294762e-07,0,0,0,0.0694118726593102,0,0,0,0,3,0,0.1662732565103601,0.3148912277936189,0,0,0,0,0.8782553452563904,0,0,4,8.280959462375497e-07,"[""winword.exe""]",0,0,0.7743696068233958,0,0,3.344579171389998e-05,0,0.094131648781312,0.0079942216356525,0.021874371005155,0,0,0,0.5,0,9.254922718949544e-11,0,wire_transfer,0.4968645681287886,0,0,0,0,1.1,0,fail,neutral,none,1,TLS 1.1,0,0,0,0,0,0.0004935627550987,self signed,0.1365577528797463,0.0050661614306261,0,1,0
1.0,D4391,0,0.5743163874043329,0,0.1889311283967186,0,0,0,0.6422552419229111,1,0,0,0,0,0,1.638431505711169e-09,0.67831318934934,0,0,0,0,0.1912593270257064,0,0,5,0.0003048278722611,"[""winword.exe""]",0,0,0.0159742905310027,0,0,1.3693564297580955e-16,0,0.0015682800308978,9.73012719194038e-05,0.0205622711728373,0,3,0,1.0,0,0.0085220193765759,0,document_download,0.0012995695542516,0,0,0,0,0.0,0,fail,none,pass,1,TLS 1.1,0,0,0,0,0,1.0223650077421954e-12,valid,0.013750562334378,0.0005680456050986,0,1,0
0.0,D4392,0,0.0002662042990256,0,0.3559018309405521,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.295313347606434e-18,0,0,5.820531921362437e-06,0,0.5916798994959749,6.672956024370266e-11,4.282152585674662e-05,0,0,0,1.0,0,6.494226852639285e-16,0,none,0.0007154495509003,0,0,0,0,0.0,0,softfail,fail,none,1,TLS 1.3,1,0,0,0,0,1.482791967621707e-05,self signed,3.1425656667662765e-08,6.089578549412337e-08,0,1,0
0.0,D4393,0,0.0203712370555378,0,0.4573575153697525,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,1,0.0050614145956229,0,0,0.0221374578879125,0,0.0162243152928493,0.0472054488244154,1.0374365205146585e-07,0,7,0,1.0,0,1.0568017137481739e-11,0,sensitive_data_request,0.5354290105732592,0,0,0,0,0.0,0,fail,fail,fail,1,TLS 1.2,0,0,0,0,0,0.1304817104599834,valid,0.0035101129700795,3.031222611180303e-07,1,1,0
1.0,D4394,0,6.426909811360724e-06,0,0.5299051342401206,0,0,0,0.2307389983034995,0,0,0,0,0,0,0.8156939545249953,0.0033845767450242,0,0,0,0,0.8842458468422754,0,0,7,2.4829553121733132e-14,"[""winword.exe""]",0,1,0.8021520317238223,0,0,0.4547446751878944,0,6.521625220499375e-05,0.0076216006552423,0.0053498395122999,0,0,0,0.5,0,0.8271987645070245,0,meeting_request,4.545818743389811e-13,0,0,0,0,0.0,0,fail,none,pass,1,TLS 1.0,0,0,0,0,0,3.918772876272263e-06,mismatch,0.0005471340476309,0.0002678751220173,0,1,0
1.0,D4395,0,2.260622107101094e-06,0,0.0861087328933901,0,0,0,0.6813677273308166,0,0,0,0,0,0,0.0003643335417421,0.0343790399559674,0,0,0,0,0.530827985811714,0,0,4,4.621163505439132e-58,"[""winword.exe""]",0,0,0.0013223076616168,0,0,0.0012051162672749,0,9.27481312797214e-21,0.0133301341048738,0.2868394104591749,0,6,0,0.0,0,3.0861822024547296e-05,0,none,0.0273807524439248,0,0,0,0,0.0,0,softfail,policy,none,1,TLS 1.2,1,0,0,0,0,0.0001152242435606,valid,0.404118834735918,0.7177287914840482,0,1,0
0.0,D4396,0,0.0001994322168475,0,0.0729831719144323,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.2893808643434644,0,0,0.0373232579582872,0,0.0953401599336734,0.0035310709442381,0.0178708297859813,0,0,0,1.0,0,0.2322184901033296,0,none,0.2537801387058691,0,0,0,0,0.0,0,fail,policy,none,1,TLS 1.3,1,0,0,0,0,5.679363007788848e-05,valid,0.0574412013547308,2.1371329257199534e-13,0,1,0
